aanlopen, to approach
achterlopen, to lag behind
aflopen, to expire
belopen, to walk on
bijlopen, to dress badly
binnenlopen, to walk in
doorlopen, to run through
inlopen, to walk in
lopen, to walk
loslopen, to run free
meelopen, to walk along
mislopen, to miss out on
nalopen, to run after
omlopen, to bypass
onderlopen, to flood
ontlopen, to evade
oplopen, to increase
overlopen, to run over
samenlopen, to run together
toelopen, tapering
uitlopen, to walk out
vastlopen, to get stuck
verlopen, to expired
vollopen, to fill up
voorlopen, to ahead
vrijlopen, to run free
weglopen, to walk away
