het meisje, the girl
het hondje, the dog
het begin, the beginning
het beroep, the profession
het bewijs, the proof
het bevel, the order
het besef, the notion
het belang, the importance
het bederf, the spoilage
het gebak, the pastry
het gebit, the teeth
het geheel, the whole
het gedrag, the behavior
het geloof, the faith
het gevoel, the feeling
het ontbijt, the breakfast
het onthaal, the welcome
het ontslag, the resignation
het ontstaan, the emergence
het ontwerp, the design
het ontzag, the awe
het verband, the connection
het verbod, the ban
het verdrag, the treaty
het verdriet, the sadness
het verhoor, the interrogation
het verlies, the loss
het midden, the middle
het wapen, the weapon
het varken, the pig
het veulen, the foal
het communisme, the communism
het socialisme, the socialism
het regionalisme, the regionalism
het liberalisme, the liberalism
het moment, the moment
het evenement, the event
het appartement, the apartment
het parlement, the parliament
het museum, the museum
het crematorium, the crematorium
het arboretum, the arboretum
het universum, the universe
het speculum, the speculum
het voetbal, football
het judo, judo
het tennis, tennis
het hockey, hockey
het honkbal, baseball
het golf, golf
het Engels, English
het Frans, French
het Duits, German
het Nederlands, Dutch
het Spaans, Spanish
het Russisch, Russian
het noorden, the North
het oosten, the East
het westen, the West
het zuiden, the South
het Amerika, America
het België, Belgium
het Brussel, Brussels
het metaal, the metal
het brons, the bronze
het zuurstof, the oxygen
het goud, the gold
het silver, the silver
het ijzer, the iron
het eten, the food
het wandelen, the walking
het fietsen, the biking
het zingen, the singing
het adres, the address
het avontuur, the adventure
het bad, the bath
het bed, the bed
het been, the leg
het beest, the beast
het bier, the beer
het blad, the leaf
het bloed, the blood
het boek, the book
het bord, the board
het brood, the bread
het cadeau, the gift
het café, the cafe
het dak, the roof
het dal, the valley
het deel, the part
het dier, the animal
het dier, the animal
het diner, the dinner
het ding, the thing
het doek, the canvas
het dorp, the village
het ei, the egg
het einde, the end
het feest, the party
het gas, the gas
het gordijn, the curtain
het gras, the grass
het haar, the hair
het haar, the hair
het hart, the heart
het hok, the cage
het hol, the cave
het hoofd, the head
het horloge, the watch
het hotel, the hotel
het hout, the wood
het huis, the House
het ijs, the ice
het kalf, the calf
het karakter, the character
het kilo, the kilo
het konijn, the rabbit
het kruid, the spice
het kruis, the cross
het kussen, the pillow
het kwart, the quarter
het kwartier, the quarter
het land, the country
het lawaai, the noise
het leder, the leather
het leger, the army
het lichaam, the body
het licht, the light
het lijf, the body
het lijk, the corpse
het linnen, the linen
het luik, the hatch
het marmer, The marble
het meer, the lake
het merk, the brand
het mes, the knife
het meubel, the piece of furniture
het middel, the method
het nest, the nest
het net, the net
het nummer, the number
het nut, utility
het offer, the offer
het ontbijt, the breakfast
het oog, the eye
het oor, the ear
het orgaan, the organ
het paard, the horse
het pak, the suit
het papier, the paper
het park, the park
het plan, the plan
het plein, the sqaure
het plezier, the pleasure
het portret, the portrait
het raam, the window
het restaurant, the restaurant
het schaap, the sheep
het scherm, the screen
het schip, the ship
het spel, the game
het stof, The dust
het stuk, the piece
het terras, the terrace
het terrein, the terrain
het toestel, the device
het uur, the hour
het varken, the pig
het vat, the barrel
het vee, the cattle
het veld, the field
het veld, the field
het venster, the window
het verdriet, the sadness
het vlees, the meat
het vliegtuig, the plane
het volk, the people
het voorwerp, the object
het vuur, the fire
het water, the water
het weer, the weather
het woud, the woods
het zand, the sand
het zeil, the sail
het zicht, the sight
het zicht, the sight
het zout, the salt
het zweet, the sweat
