aankomen,to arrive
achterkomen,to find out
afkomen,to come off
bekomen,to obtain
bijkomen,to recover
binnenkomen,to enter
doorkomen,to get through
de inkomen,the income
komen,to come
loskomen,to come off
meekomen,to come along
nakomen,to comply
neerkomen,to come down
omkomen,to perish
onderkomen,to shelter
ontkomen,to escape
opkomen,to come up
overkomen,to happen
samenkomen,to get together
tegenkomen,to come across
toekomen,to forward
uitkomen,to Hatch(?)
volkomen,completely
voorkomen,to appearance
vrijkomen,to release
weerkomen,to come again
wegkomen,to get away
